"tenantid","sum"
"od.dharamgarh",2000.00
"od.belpahar",3000.00
"od.anandapur",3806.00
"od.champua",1500.00
"od.khandapada",25663.00
"od.padampur",28000.00
"od.jagatsinghpur",10000.00
"od.jharsuguda",305936.00
"od.kantabanji",68800.00
"od.banpur",5707.00
"od.banki",15167.00
"od.gudayagiri",12679.00
"od.gudari",62214.00
"od.bhanjanagar",500.00
"od.nimapara",2548.00
"od.rourkela",11960065.00
"od.dhamnagar",500.00
"od.paradeep",32502.00
"od.kabisuryanagar",5000.00
"od.khallikote",13316.00
"od.kesinga",25017.00
"od.kashinagar",39652.00
"od.soro",826540.00
"od.jatni",225280.00
"od.balimela",2500.00
"od.khariar",3000.00
"od.attabira",8000.00
"od.odagaon",5500.00
"od.pattamundai",39980.00
"od.junagarh",25389.00
"od.ganjam",12000.00
"od.bargarh",35319.00
"od.bijepur",3500.00
"od.sambalpur",300898.00
"od.balliguda",1000.00
"od.titilagarh",32192.00
"od.kamakhyanagar",213882.00
"od.buguda",2000.00
"od.gopalpur",59.00
"od.dhenkanal",168817.00
"od.bhadrak",6724.00
"od.jeypore",64815.00
"od.joda",77200.00
"od.talcher",2028154.00
"od.birmitrapur",32113.00
"od.khariarroad",161.00
"od.nayagarh",89919.00
"od.chikiti",1000.00
"od.deogarh",229550.00
"od.kuchinda",134576.00
"od.khordha",164739.00
"od.polasara",9300.00
"od.koraput",50157.00
"od.berhampur",757997.00
"od.choudwar",17035.00
"od.hindol",1500.00
"od.chatrapur",337803.00
"od.purushottampur",2000.00
"od.pipli",20569.00
"od.brajrajnagar",1000.00
"od.kodala",12173.00
"od.athmallik",18634.00
"od.balasore",142150.00
"od.tarbha",34738.00
"od.rairangpur",79012.00
"od.nabarangpur",4030.00
"od.berhmpurMouza",120372.00
"od.binka",1000.00
"od.angul",431255.00
"od.umerkote",13700.00
"od.bhubaneswar",91217.00
"od.bhuban",6545.00
"od.chandbali",7700.00
"od.aska",388135.00
"od.jajpur",4800.00
"od.digapahandi",59579.00
"od.karanjia",50175.00
"od.keonjhargarh",18001.00
"od.kendrapara",24485.00
"od.udala",7500.00
"od.surada",7500.00
"od.bellaguntha",14700.00
"od.puri",4635094.00
"od.hinjilicut",28010.00
"od.patnagarh",18528.00
"od.nuapada",2000.00
"od.jaleswar",34669.00
"od.daspalla",38200.00
"od.redhakhol",100.00
"od.paralakhemundi",41745.00
"od.rayagada",24379.00
"od.sundargarh",3000.00
"od.balangir",10000.00
"od.baripada",148305.00
"od.vyasanagar",3278.00
"od.cuttack",34880538.00
"od.tusura",2000.00
"od.kotpad",10512.00
"od.phulbani",2500.00
"od.bhawanipatna",104680.00
"od.gunupur",121025.00
"od.boudhgarh",17821.00
"od.testing",11.00
"od.balugaon",50515.00
"od.sonepur",244356.00
"od.athagarh",5802.00
"od.rajgangpur",15369.00
"od.rambha",3508.00
